,full_name,team,position,height,weight,age,region,average_points,average_assists,average_rebounds,average_steals,average_blocks,awards
250,James Johnson,Pacers,Forward,200.66,240,38,USA,0.6666666666666666,0.3333333333333333,0.5,0.0,0.16666666666666666,
251,Keldon Johnson,Spurs,Forward-Guard,195.57999999999998,220,25,USA,12.616438356164384,1.643835616438356,4.698630136986301,0.6575342465753424,0.2465753424657534,Olympic Gold Medal
252,Keon Johnson,Nets,Guard,195.57999999999998,185,23,USA,10.426666666666666,2.1066666666666665,3.64,1.0666666666666667,0.38666666666666666,
253,Keshad Johnson,Heat,Forward,200.66,225,23,USA,1.2307692307692308,0.23076923076923078,1.3846153846153846,0.15384615384615385,0.3076923076923077,
254,Nikola Jokić,Nuggets,Center,210.82,284,30,Serbia,29.78787878787879,10.181818181818182,12.757575757575758,1.7727272727272727,0.6515151515151515,All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-Rookie Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA Champion; NBA Finals Most Valuable Player; NBA Most Valuable Player; NBA Most Valuable Player; NBA Most Valuable Player; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; Olympic Bronze Medal; Olympic Silver Medal
255,Colby Jones,Wizards,Guard,198.12,207,22,USA,1.0833333333333333,0.2916666666666667,0.9583333333333334,0.25,0.2916666666666667,
256,Dillon Jones,Thunder,Forward,195.57999999999998,235,23,USA,2.2857142857142856,1.0612244897959184,1.9591836734693877,0.2653061224489796,0.061224489795918366,
257,Herbert Jones,Pelicans,Forward,200.66,206,26,USA,10.25,3.25,3.9,1.85,0.45,All-Defensive Team; All-Rookie Team
258,Isaac Jones,Kings,Forward,205.74,245,24,USA,3.611111111111111,0.3055555555555556,1.3888888888888888,0.1111111111111111,0.25,
259,Kai Jones,Mavericks,Center-Forward,210.82,221,24,Bahamas,2.1785714285714284,0.35714285714285715,1.6428571428571428,0.21428571428571427,0.4642857142857143,
